quarter_key,year,quarter,region_ar,city,property_type,rental_contracts,avg_rent,property_category_ar
2022Q1,2022,1,الباحة,Al Bahah,Residential,27,11612.5,استديو - سكني
2022Q1,2022,1,الباحة,Al Bahah,Residential,29,18405.28,دور - سكني
2022Q1,2022,1,الباحة,Al Bahah,Residential,637,15004.094827,شقة - سكني
2022Q1,2022,1,الباحة,Al Bahah,Commercial,293,578.589343,محل - تجاري
2022Q1,2022,1,الباحة,Al Bahah,Commercial,35,1225.500612,معرض تجاري - تجاري
2022Q1,2022,1,الباحة,Al Bahah,Commercial,7,454.272485,مكتب - تجاري
2022Q2,2022,2,الباحة,Al Bahah,Residential,25,17775.0,استديو - سكني
2022Q2,2022,2,الباحة,Al Bahah,Residential,1,60000.0,دوبلاكس - سكني
2022Q2,2022,2,الباحة,Al Bahah,Residential,21,17816.666666,دور - سكني
2022Q2,2022,2,الباحة,Al Bahah,Residential,614,15253.041095,شقة - سكني
2022Q2,2022,2,الباحة,Al Bahah,Residential,4,60500.0,فيلا - سكني
2022Q2,2022,2,الباحة,Al Bahah,Commercial,250,519.590536,محل - تجاري
2022Q2,2022,2,الباحة,Al Bahah,Commercial,19,1145.543642,معرض تجاري - تجاري
2022Q2,2022,2,الباحة,Al Bahah,Commercial,9,360.406746,مكتب - تجاري
2022Q3,2022,3,الباحة,Al Bahah,Residential,69,10515.555555,استديو - سكني
2022Q3,2022,3,الباحة,Al Bahah,Residential,1,9600.0,دوبلاكس - سكني
2022Q3,2022,3,الباحة,Al Bahah,Residential,28,23582.608695,دور - سكني
2022Q3,2022,3,الباحة,Al Bahah,Residential,1431,14195.777435,شقة - سكني
2022Q3,2022,3,الباحة,Al Bahah,Residential,2,62000.0,فيلا - سكني
2022Q3,2022,3,الباحة,Al Bahah,Commercial,404,555.227103,محل - تجاري
2022Q3,2022,3,الباحة,Al Bahah,Commercial,21,1056.776851,معرض تجاري - تجاري
2022Q3,2022,3,الباحة,Al Bahah,Commercial,13,498.357427,مكتب - تجاري
2022Q4,2022,4,الباحة,Al Bahah,Residential,38,15055.555555,استديو - سكني
2022Q4,2022,4,الباحة,Al Bahah,Residential,43,19084.787878,دور - سكني
2022Q4,2022,4,الباحة,Al Bahah,Residential,1413,12859.580039,شقة - سكني
2022Q4,2022,4,الباحة,Al Bahah,Residential,2,39500.0,فيلا - سكني
2022Q4,2022,4,الباحة,Al Bahah,Commercial,345,557.909566,محل - تجاري
2022Q4,2022,4,الباحة,Al Bahah,Commercial,16,1612.828995,معرض تجاري - تجاري
