quarter_key,year,quarter,region_ar,city,property_type,sales_transactions,market_value,avg_price_m2,rental_contracts,avg_rent,region,population,avg_income,inflation_rate,repo_rate
2020Q4,2020,4,منطقة القصيم,Buraidah,Residential,30.0,18337879.0,2215.0320698,,,Al Qassim,677647,10081.0,3.45,1.0
2020Q4,2020,4,منطقة المدينة المنورة,Madinah,Commercial,95.0,174075400.24,1036.5946918985508,,,Madinah,1477047,9723.0,3.45,1.0
2020Q4,2020,4,منطقة المدينة المنورة,Madinah,Residential,628.0,422358825.27,1483.374432923077,,,Madinah,1477047,9723.0,3.45,1.0
2020Q4,2020,4,منطقة تبوك,Tabuk,Commercial,620.0,3625107120.42,8399.580716239865,,,Tabuk,623665,11127.0,3.45,1.0
2020Q4,2020,4,منطقة تبوك,Tabuk,Residential,926.0,2819408264.07,5203.31834359905,,,Tabuk,623665,11127.0,3.45,1.0
2020Q4,2020,4,منطقة جازان,Jazan,Commercial,36.0,37233437.5,842.2689751612903,,,Jazan,200911,10763.0,3.45,1.0
2020Q4,2020,4,منطقة جازان,Jazan,Residential,375.0,197872636.53,1294.13037301983,,,Jazan,200911,10763.0,3.45,1.0
2020Q4,2020,4,منطقة عسير,Abha,Residential,6.0,3248400.0,,,,Aseer,422243,11264.0,3.45,1.0
2020Q4,2020,4,منطقة مكة المكرمة,Jeddah,Commercial,1049.0,2590653940.8,1431.41231884744,,,Makkah,3751722,10141.0,3.45,1.0
2020Q4,2020,4,منطقة مكة المكرمة,Jeddah,Residential,9189.0,7740556149.23,2208.720232066504,,,Makkah,3751722,10141.0,3.45,1.0
2020Q4,2020,4,منطقة مكة المكرمة,Makkah,Commercial,9.0,68681780.0,,,,Makkah,2427924,10141.0,3.45,1.0
2020Q4,2020,4,منطقة مكة المكرمة,Makkah,Residential,241.0,408097395.56,2825.4882949247312,,,Makkah,2427924,10141.0,3.45,1.0
2020Q4,2020,4,منطقة نجران,Najran,Residential,2.0,1120000.0,,,,Najran,421902,7969.0,3.45,1.0
2020Q4,2020,4,منطقة نجران,Najran,Commercial,,,,385.0,429.2683845298701,Najran,421902,7969.0,3.45,1.0
2020Q4,2020,4,منطقة نجران,Najran,Residential,,,,1257.0,15124.427186859986,Najran,421902,7969.0,3.45,1.0
2021Q1,2021,1,منطقة الباحة,Al Bahah,Commercial,,,,124.0,559.8147703387098,Al Bahah,90515,11348.0,3.06,1.0
2021Q1,2021,1,منطقة الباحة,Al Bahah,Residential,,,,361.0,15667.035584925206,Al Bahah,90515,11348.0,3.06,1.0
2021Q1,2021,1,منطقة الجوف,Sakaka,Commercial,,,,354.0,400.158983440678,Al Jouf,236669,10686.0,3.06,1.0
2021Q1,2021,1,منطقة الجوف,Sakaka,Residential,,,,1015.0,12085.271326940883,Al Jouf,236669,10686.0,3.06,1.0
2021Q1,2021,1,منطقة الحدود الشماليه,Arar,Commercial,,,,237.0,430.29614558649786,Northern Borders,202719,,3.06,1.0
2021Q1,2021,1,منطقة الحدود الشماليه,Arar,Residential,,,,715.0,14033.320753485315,Northern Borders,202719,,3.06,1.0
2021Q1,2021,1,منطقة الرياض,Riyadh,Commercial,,,,16508.0,556.9366384384541,Riyadh,7009120,14990.0,3.06,1.0
2021Q1,2021,1,منطقة الرياض,Riyadh,Residential,,,,79371.0,20945.160386861044,Riyadh,7009120,14990.0,3.06,1.0
2021Q1,2021,1,منطقة القصيم,Buraidah,Commercial,,,,981.0,344.93456296024465,Al Qassim,677647,10081.0,3.06,1.0
2021Q1,2021,1,منطقة القصيم,Buraidah,Residential,,,,3433.0,11837.417843317508,Al Qassim,677647,10081.0,3.06,1.0
2021Q1,2021,1,منطقة المدينة المنورة,Madinah,Commercial,,,,1675.0,711.2187158483582,Madinah,1477047,9723.0,3.06,1.0
2021Q1,2021,1,منطقة المدينة المنورة,Madinah,Residential,,,,7485.0,15915.5202334656,Madinah,1477047,9723.0,3.06,1.0
2021Q1,2021,1,المنطقة الشرقية,Dammam,Commercial,256.0,676633486.74,1525.7069298526314,3108.0,600.5024116203347,Eastern Province,1532326,11775.0,3.06,1.0
2021Q1,2021,1,المنطقة الشرقية,Dammam,Residential,2635.0,2483287726.19,2508.970300393866,20941.0,17126.039364544096,Eastern Province,1532326,11775.0,3.06,1.0
2021Q1,2021,1,المنطقة الشرقية,Khobar,Commercial,,,,1628.0,535.2121318230958,Eastern Province,658550,11775.0,3.06,1.0
2021Q1,2021,1,المنطقة الشرقية,Khobar,Residential,89.0,57937041.0,3309.46949625,13104.0,21550.12274916934,Eastern Province,658550,11775.0,3.06,1.0
2021Q1,2021,1,منطقة تبوك,Tabuk,Commercial,,,,1069.0,524.2718232366699,Tabuk,623665,11127.0,3.06,1.0
2021Q1,2021,1,منطقة تبوك,Tabuk,Residential,,,,3349.0,14807.736800042105,Tabuk,623665,11127.0,3.06,1.0
2021Q1,2021,1,منطقة جازان,Jazan,Commercial,,,,288.0,633.1506836631945,Jazan,200911,10763.0,3.06,1.0
2021Q1,2021,1,منطقة جازان,Jazan,Residential,,,,2098.0,18472.63008611487,Jazan,200911,10763.0,3.06,1.0
2021Q1,2021,1,منطقة حائل,Hail,Commercial,,,,637.0,448.2461234788069,Hail,498575,9269.0,3.06,1.0
2021Q1,2021,1,منطقة حائل,Hail,Residential,,,,2258.0,13723.22838965766,Hail,498575,9269.0,3.06,1.0
2021Q1,2021,1,منطقة عسير,Abha,Commercial,,,,405.0,615.4802898074073,Aseer,422243,11264.0,3.06,1.0
2021Q1,2021,1,منطقة عسير,Abha,Residential,,,,1657.0,17879.474391380205,Aseer,422243,11264.0,3.06,1.0
2021Q1,2021,1,منطقة مكة المكرمة,Jeddah,Commercial,,,,7781.0,730.1672593661482,Makkah,3751722,10141.0,3.06,1.0
