city,year,property_type,sales_transactions,market_value,avg_transaction_value,avg_price_m2,rental_contracts,avg_rent,population,sales_quarters_available,rental_quarters_available,price_quarters_available
Sakaka,2023,Commercial,215.0,60242820.02,280199.16288372094,151.39084145581393,3578.0,399.6608067275014,236669,3,4,3
Sakaka,2023,Residential,853.0,250810115.10000002,294032.9602579133,274.12650505439865,16508.0,11343.92870281815,236669,3,4,3
Sakaka,2024,Commercial,,,,,3695.0,402.896377594046,236669,0,4,0
Sakaka,2024,Residential,,,,,19126.0,13128.434648191625,236669,0,4,0
Tabuk,2018,Commercial,1596.0,815478270.0699999,510951.2970363408,348.79067758612683,,,623665,4,0,4
Tabuk,2018,Residential,1661.0,482165625.9,290286.3491270319,409.4017513490262,,,623665,4,0,4
Tabuk,2019,Commercial,1922.0,1017223739.87,529252.7262591051,515.3847576474645,313.0,528.2860726293928,623665,4,4,4
Tabuk,2019,Residential,2177.0,725297771.12,333163.8820027561,546.4213490410016,6013.0,16719.561257887744,623665,4,4,4
Tabuk,2020,Commercial,2035.0,4587477449.89,2254288.673164619,3151.705420205246,1900.0,525.668415098421,623665,4,4,4
Tabuk,2020,Residential,2982.0,3745628965.9500003,1256079.465442656,2193.4076513952846,12939.0,14591.783498515342,623665,4,4,4
Tabuk,2021,Commercial,1585.0,829927890.4100001,523613.81098422717,619.067366376903,4197.0,549.53721784203,623665,4,4,4
Tabuk,2021,Residential,3157.0,1641271701.01,519883.3389325309,1320.3800209021206,12893.0,14668.29887400163,623665,4,4,4
Tabuk,2022,Commercial,1308.0,901740685.2800001,689404.1936391438,676.788154602877,7715.0,563.9947143600778,623665,4,4,4
Tabuk,2022,Residential,3523.0,1957754397.94,555706.6130967925,1713.5920148706496,36193.0,13046.149560317657,623665,4,4,4
Tabuk,2023,Commercial,702.0,509720824.69000006,726098.040868946,664.4760034777397,9853.0,586.7882742096824,623665,3,4,3
Tabuk,2023,Residential,2305.0,1330890309.18,577392.7588633406,1850.8511871516753,57808.0,12936.06016080667,623665,3,4,3
Tabuk,2024,Commercial,,,,,11075.0,576.8870907428442,623665,0,4,0
Tabuk,2024,Residential,,,,,59633.0,15698.13544272656,623665,0,4,0
